task,P0_baseline_steered__rate_pct,P0_baseline_steered__n,P0_baseline_steered__avg_steps,P1_baseline_steered__rate_pct,P1_baseline_steered__n,P1_baseline_steered__avg_steps,P2_baseline_steered__rate_pct,P2_baseline_steered__n,P2_baseline_steered__avg_steps,P3_baseline_steered__rate_pct,P3_baseline_steered__n,P3_baseline_steered__avg_steps,P4_baseline_steered__rate_pct,P4_baseline_steered__n,P4_baseline_steered__avg_steps,P0_action_object__rate_pct,P0_action_object__n,P0_action_object__avg_steps,P1_action_object__rate_pct,P1_action_object__n,P1_action_object__avg_steps,P2_action_object__rate_pct,P2_action_object__n,P2_action_object__avg_steps,P3_action_object__rate_pct,P3_action_object__n,P3_action_object__avg_steps,P4_action_object__rate_pct,P4_action_object__n,P4_action_object__avg_steps,P0_baseline__rate_pct,P0_baseline__n,P0_baseline__avg_steps,P1_baseline__rate_pct,P1_baseline__n,P1_baseline__avg_steps,P2_baseline__rate_pct,P2_baseline__n,P2_baseline__avg_steps,P3_baseline__rate_pct,P3_baseline__n,P3_baseline__avg_steps,P4_baseline__rate_pct,P4_baseline__n,P4_baseline__avg_steps
rotate_red_block_right,76,19/25,9.2,64,16/25,8.8,72,18/25,8.9,0,0/25,,0,0/20,,60,15/25,5.4,64,16/25,6.1,60,15/25,5.7,60,15/25,7.2,50,10/20,6.1,76,19/25,10.7,76,19/25,9.4,88,22/25,11.4,0,0/25,,0,0/20,
rotate_red_block_left,60,15/25,7.8,76,19/25,9.1,60,15/25,8.3,0,0/25,,0,0/25,,52,13/25,7.1,44,11/25,7,48,13/25,7.4,52,13/25,7,60,15/25,8,80,20/25,10.6,72,18/25,8.9,84,21/25,10.1,4,1/25,9,0,0/25,
rotate_blue_block_right,76,19/25,8.7,64,16/25,9.1,64,16/25,7.6,16,4/25,9.2,24,6/25,2.7,48,12/25,5.6,56,14/25,6.5,52,12/25,4.6,48,12/25,6.1,44,11/25,7.2,76,19/25,9.2,76,19/25,8.1,64,16/25,7.8,8,2/25,11,0,0/25,
rotate_blue_block_left,84,21/25,7,88,22/25,8.2,80,20/25,7.0,8,2/25,9.0,8,2/25,9.5,68,17/25,6.3,68,17/25,6.7,72,17/25,6.5,68,17/25,7.4,60,15/25,7,88,22/25,8.1,88,22/25,8,80,20/25,7.5,16,4/25,10,4,1/25,9
rotate_pink_block_right,72,18/25,9.2,76,19/25,9.4,76,19/25,9.2,0,0/25,,12,3/25,12.0,60,15/25,8.1,64,16/25,7,60,15/25,6.1,60,15/25,5.8,48,12/25,6.1,72,18/25,9.4,84,21/25,10,72,18/25,8.4,12,3/25,10,8,2/25,13.5
rotate_pink_block_left,68,17/25,8.4,64,16/25,8.9,64,16/25,8.8,8,2/25,9.0,16,4/25,7.8,56,14/25,6,56,14/25,8.4,56,14/25,6.3,56,14/25,6.6,52,13/25,6,64,16/25,10.9,64,16/25,9.4,68,17/25,10.1,16,4/25,10,0,0/25,
push_red_block_right,88,22/25,5.2,84,21/25,4.7,88,22/25,5.1,80,20/25,4.5,0,0/15,,84,21/25,5.8,80,20/25,6,84,21/25,5.6,88,22/25,6.3,44,11/25,4.4,76,19/25,7.2,80,20/25,7.1,88,22/25,8,56,14/25,10.3,13.3,2/15,11.5
push_red_block_left,84,21/25,5.6,80,20/25,4.6,92,23/25,6.0,68,17/25,2.5,76,19/25,2.7,76,19/25,6,68,17/25,6.6,72,18/25,5.7,76,19/25,7.5,68,17/25,6.2,92,23/25,8.3,92,23/25,8.2,92,23/25,6.8,80,20/25,8.7,36,9/25,5.8
push_blue_block_right,76,19/25,5.9,72,18/25,5.3,80,20/25,5.2,68,17/25,5.4,16,4/25,3.2,80,20/25,6,76,19/25,6.1,76,19/25,5.7,76,19/25,6.3,72,18/25,7.1,80,20/25,8.1,84,21/25,6.4,80,20/25,7.2,56,14/25,7.6,32,8/25,11.9
push_blue_block_left,100,25/25,6,88,22/25,4.2,84,21/25,4.5,44,11/25,3.5,36,9/25,5.0,80,20/25,4.3,84,21/25,5,80,20/25,4.3,92,23/25,5.7,88,22/25,4,68,17/25,6.8,68,17/25,6.7,48,12/25,6.4,48,12/25,10,20,5/25,6.4
push_pink_block_right,76,19/25,6.4,68,17/25,7.3,84,21/25,6.1,68,17/25,7.8,4,1/25,4.0,80,20/25,5.2,84,21/25,6.3,84,21/25,5.5,80,20/25,6.2,88,22/25,4.5,80,20/25,8.2,76,19/25,7.8,68,17/25,6.9,44,11/25,12.4,0,0/25,
push_pink_block_left,80,20/25,5.8,72,18/25,7.6,80,20/25,5.8,36,9/25,4.7,36,9/25,8.3,84,21/25,7.4,80,20/25,6.7,76,19/25,6.7,80,20/25,6.7,100,25/25,8.2,88,22/25,8.2,88,22/25,9.6,88,22/25,8.2,92,23/25,9.6,16,4/25,12.5
move_slider_left,100,25/25,4.5,88,22/25,4.5,96,24/25,3.8,0,0/25,,56,14/25,12.1,88,22/25,4.6,80,20/25,6.1,76,19/25,4.1,80,20/25,8.9,64,16/25,6.7,64,16/25,12.2,64,16/25,12.2,40,10/25,11.8,0,0/25,,0,0/25,
move_slider_right,88,22/25,3.7,76,19/25,3.6,92,23/25,4.0,4,1/25,1.0,12,3/25,6.7,84,21/25,4.6,88,22/25,6.1,84,21/25,3.5,80,20/25,4.5,60,15/25,3,68,17/25,7.2,76,19/25,7.1,72,18/25,7.1,16,4/25,9.2,8,2/25,7.5
open_drawer,100,25/25,4.1,100,25/25,4.2,100,25/25,4.0,100,25/25,4.0,88,22/25,4.4,100,25/25,5.5,92,23/25,4.3,100,25/25,3.7,96,24/25,4.7,100,25/25,3.6,100,25/25,8.7,88,22/25,8.3,100,25/25,8.7,64,16/25,9.6,0,0/25,
close_drawer,88,22/25,12,92,23/25,7.2,88,22/25,4.7,40,10/25,9.7,4,1/25,17.0,100,25/25,11.2,100,11/25,12.5,76,19/25,3.4,88,22/25,5.2,92,23/25,5,100,25/25,9.4,80,20/25,9.5,88,22/25,9.1,12,3/25,12.7,0,0/25,
lift_red_block_table,84,21/25,5.5,88,22/25,6,84,21/25,6.1,84,21/25,5.3,32,8/25,6.4,92,23/25,6.6,88,22/25,5.7,88,22/25,6.2,88,22/25,5.6,52,13/25,8.5,92,23/25,8.2,92,23/25,8.1,96,24/25,8.1,84,21/25,8.9,20,5/25,8.6
